,obj_type,num_objects,gpu,num_cpus,computation_time
0,sphere,1,True,16,0.14377665519714355
1,sphere,1,True,8,0.08236098289489746
2,sphere,1,True,4,0.05632734298706055
3,sphere,1,True,2,0.027418136596679688
4,sphere,1,True,1,0.013613224029541016
5,sphere,1,True,0,0.0031554698944091797
6,sphere,1,False,16,0.14182066917419434
7,sphere,1,False,8,0.07750797271728516
8,sphere,1,False,4,0.050755977630615234
9,sphere,1,False,2,0.024695873260498047
10,sphere,1,False,1,0.012022018432617188
11,sphere,1,False,0,0.0029478073120117188
12,sphere,10,True,16,0.15055131912231445
13,sphere,10,True,8,0.09031796455383301
14,sphere,10,True,4,0.062068939208984375
15,sphere,10,True,2,0.028998136520385742
16,sphere,10,True,1,0.01756596565246582
17,sphere,10,True,0,0.003730297088623047
18,sphere,10,False,16,0.15364480018615723
19,sphere,10,False,8,0.09128761291503906
20,sphere,10,False,4,0.0613553524017334
21,sphere,10,False,2,0.02631521224975586
22,sphere,10,False,1,0.0189669132232666
23,sphere,10,False,0,0.003637075424194336
24,sphere,100,True,16,0.19115233421325684
25,sphere,100,True,8,0.11301827430725098
26,sphere,100,True,4,0.0659635066986084
27,sphere,100,True,2,0.04204392433166504
28,sphere,100,True,1,0.025953054428100586
29,sphere,100,True,0,0.012865543365478516
30,sphere,100,False,16,0.1832273006439209
31,sphere,100,False,8,0.1131596565246582
32,sphere,100,False,4,0.06369519233703613
33,sphere,100,False,2,0.04121971130371094
34,sphere,100,False,1,0.025717496871948242
35,sphere,100,False,0,0.01249241828918457
36,sphere,1000,True,16,0.4031217098236084
37,sphere,1000,True,8,0.24303579330444336
38,sphere,1000,True,4,0.20811700820922852
39,sphere,1000,True,2,0.23665094375610352
40,sphere,1000,True,1,0.29477596282958984
41,sphere,1000,True,0,0.2120192050933838
42,sphere,1000,False,16,0.3835618495941162
43,sphere,1000,False,8,0.2515122890472412
44,sphere,1000,False,4,0.1926422119140625
45,sphere,1000,False,2,0.22082304954528809
46,sphere,1000,False,1,0.2586064338684082
47,sphere,1000,False,0,0.1992940902709961
48,sphere,5000,True,16,1.7285361289978027
49,sphere,5000,True,8,1.370549201965332
